id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
1,Carne e Pesce,carne-pesce,,0,54,0,0,,0
3,Frutta e Verdura,frutta-verdura,,0,56,0,0,,0
4,Formaggi e Salumi,formaggi-salumi,,0,52,0,0,,0
6,"Latte, Burro e Yogurt",latte-burro-yogurt,,0,50,0,0,,0
8,Pane e Pasticceria,pane-pasticceria,,0,48,0,0,,0
9,Gastronomia,gastronomia,,0,17,0,0,,0
10,"Caffè, Tè e Zucchero",caffe-te-zucchero,,0,41,0,0,,0
11,"Colazione, Dolciumi e Snack",colazione-dolciumi-snack,,0,40,0,0,,0
12,"Pasta, Riso e Cereali",pasta-riso-cereali,,0,46,0,0,,0
13,Altre categorie...,altro,,0,32,0,0,,0
15,Surgelati e gelati,surgelati-gelati,,0,39,0,0,,0
16,"Acqua, Bibite e Alcolici",acqua-bibite-alcolici,,0,38,0,0,,0
17,Amici Animali,amici-animali,,0,33,0,0,,0
18,Bimbi e Infanzia,bimbi-infanzia,,0,34,0,0,,0
19,Igiene e Cura Personale,igiene-cura-personale,,0,37,0,0,,0
20,Pulizia della casa,pulizia-casa,,0,36,0,0,,0
21,Accessori casa e cucina,accessori-casa-cucina,,0,35,0,0,,0
22,Alluminio e Pellicole,alluminio-pellicole,,0,4,0,0,,0
23,Tessile e Casalinghi,tessile-casalinghi,,0,3,0,0,,0
24,Deodoranti e Candele,deodoranti-candele,,0,2,0,0,,0
25,Lampadine e Pile,lampadine-pile,,0,1,0,0,,0
26,Giardinaggio e Insetticidi,giardinaggio-insetticidi,,0,0,0,0,,0
27,"Sughi, Scatolame, Condimenti",sughi-scatolame-condimenti,,0,43,0,0,,0
28,"Uova, Farine e Preparati",uova-farine-preparati,,0,42,0,0,,0
29,Specialità natalizie,specialita-natalizie,,0,1,0,0,,0
30,Specialità pasquali,specialita-pasquali,,0,1,0,0,,0
31,Pasta Fresca e Brodi,pasta-fresca-brodi,,0,255,0,0,,0
32,Vegetariano e Vegano,vegetariano-vegano,,0,44,0,0,,0
33,Vini bianchi,vini-bianchi-sv,,0,7,24,0,,0
34,Vini rossi,vini-rossi-sv,,0,6,24,0,,0
35,Vini rosati,vini-rosati-sv,,0,5,24,0,,0
36,Vini da dessert,vini-dessert-sv,,0,4,24,0,,0
37,Bollicine,bollicine-sv,,0,3,24,0,,0
38,Birre,birre-sv,,0,2,24,0,,0
39,Grappe e liquori,grappe-liquori-sv,,0,1,24,0,,0
40,Grandi del risparmio,grandi-risparmio,,0,100,0,0,,0
41,Solari,solari,,0,0,0,0,,0
42,Gelati,gelati,,0,0,0,0,,0
43,Pesce Intero e filetti,sdm-pesce-intero-filetti,,0,14,0,0,,0
44,Molluschi,sdm-molluschi,,0,13,0,0,,0
45,Crostacei,sdm-crostacei,,0,12,0,0,,0
46,"Affumicati, marinati e carpacci",sdm-affumicati-marinati-carpacci,,0,11,0,0,,0
47,Pesce sott'olio e in scatola,sdm-pesce-sottolio-scatola,,0,10,0,0,,0
48,Piatti pronti,sdm-piatti-pronti,,0,9,0,0,,0
49,Verdure e aromi surgelati,sdm-verdure-aromi-surgelati,,0,8,0,0,,0
50,Pane e pasticceria,sdm-pane-pasticceria,,0,7,0,0,,0
51,Gelati,sdm-gelati,,0,6,0,0,,0
52,Pasta e riso,sdm-pasta-riso,,0,5,0,0,,0
53,"Legumi, Cereali e farina",sdm-legumi-cereali-farina,,0,4,0,0,,0
54,Sughi e salse,sdm-sughi-salse,,0,3,0,0,,0
55,Condimenti e sottoli,sdm-condimenti-sottoli,,0,2,0,0,,0
56,Vino e altri alcolici,sdm-vino-altri-alcolici,,0,1,0,0,,0
57,"Formaggi, latticini e salumi",alt-formaggi-latticini-salumi,,0,11,0,0,,0
58,"Pasta, cereali e legumi",alt-pasta-cereali-legumi,,0,10,0,0,,0
59,"Condimenti, spezie e sottoli",alt-condimenti-spezie-sottoli,,0,9,0,0,,0
60,Caffè,alt-caffe,,0,8,0,0,,0
61,"Tè, infusi e tisane",alt-te-infusi-tisane,,0,7,0,0,,0
62,Preparati e ingredienti per dolci,alt-preparati-ingredienti-dolci,,0,6,0,0,,0
63,"Colazione, dolciumi e snack",alt-colazione-dolciumi-snack,,0,5,0,0,,0
64,Bibite e alcolici,alt-bibite-alcolici,,0,4,24,0,,0
65,Igiene e cura personale,alt-igiene-cura-personale,,0,3,0,0,,0
66,Detersivi,alt-detersivi,,0,2,0,0,,0
67,Ricorrenze,alt-ricorrenze,,0,1,0,0,,0
201,Manzo Americano,carne-manzo-americano,100278,2,4,0,0,10.0,0
202,Scottona,carne-scottona-piemontese,100278,2,3,0,0,10.0,0
203,Bovino adulto,carne-bovino-adulto,100278,2,2,0,0,10.0,1
204,Vitello,carne-vitello,100278,2,1,0,0,10.0,0
205,Tacchino,carne-tacchino,100102,2,2,0,0,10.0,0
206,Pollo,carne-pollo,100102,2,3,0,0,10.0,0
207,Altro pollame,carne-altro-pollame,100102,2,1,0,0,10.0,0
208,Maiale,carne-maiale,100103,2,1,0,0,10.0,0
209,Carne di Coniglio,carne-coniglio,100280,2,2,0,0,10.0,0
210,Carne Ovina,carne-ovina,100280,2,1,0,0,10.0,0
212,Carni pronte da cuocere,carne-pronte-da-cuocere,100282,2,4,0,0,10.0,0
213,Carni Impanate,carne-impanate,100282,2,3,0,0,10.0,0
214,Insaporitori e preparati,insaporitori-preparati,100161,2,1,0,0,10.0,0
227,Molluschi e Crostacei,crostacei-molluschi,100286,2,1,0,0,10.0,0
